0,8,0,0,80,0,0,62,28,0,0,88,0,0,0,23,0,77,43,0,0,0,96,42,3
8,0,69,27,100,43,0,83,2,74,83,0,0,29,0,43,93,71,95,12,9,7,70,60,0
0,69,0,16,0,0,77,31,0,0,93,46,0,0,26,0,0,30,37,24,3,55,0,0,9
0,27,16,0,85,0,0,0,27,0,0,0,42,0,81,0,34,0,47,67,65,100,0,78,99
80,100,0,85,0,41,43,94,0,0,0,34,0,70,57,0,94,72,45,0,0,0,28,96,65
0,43,0,0,41,0,20,0,88,0,25,80,87,9,0,85,0,52,71,44,9,74,0,46,51
0,0,77,0,43,20,0,28,0,16,0,0,97,0,50,69,0,70,0,42,41,98,92,74,0
62,83,31,0,94,0,28,0,53,74,5,62,3,0,0,0,0,0,0,0,0,0,0,0,0
28,2,0,27,0,88,0,53,0,33,60,0,72,83,97,0,0,0,0,59,0,0,0,65,75
0,74,0,0,0,0,16,74,33,0,71,0,32,0,7,0,74,0,20,9,0,0,0,40,40
0,83,93,0,0,25,0,5,60,71,0,53,55,57,0,15,0,58,0,0,0,66,54,0,0
88,0,46,0,34,80,0,62,0,0,53,0,78,84,0,0,0,0,8,0,0,0,0,0,45
0,0,0,42,0,87,97,3,72,32,55,78,0,81,0,18,0,0,0,0,0,48,0,49,0
0,29,0,0,70,9,0,0,83,0,57,84,81,0,27,0,46,0,0,21,0,55,79,5,60
0,0,26,81,57,0,50,0,97,7,0,0,0,27,0,27,74,0,0,0,0,20,72,0,0
23,43,0,0,0,85,69,0,0,0,15,0,18,0,27,0,24,0,6,0,57,44,95,51,0
0,93,0,34,94,0,0,0,0,74,0,0,0,46,74,24,0,75,0,0,0,87,57,48,0
77,71,30,0,72,52,70,0,0,0,58,0,0,0,0,0,75,0,54,9,0,0,0,56,18
43,95,37,47,45,71,0,0,0,20,0,8,0,0,0,6,0,54,0,25,0,0,33,0,0
0,12,24,67,0,44,42,0,59,9,0,0,0,21,0,0,0,9,25,0,95,92,0,0,2
0,9,3,65,0,9,41,0,0,0,0,0,0,0,0,57,0,0,0,95,0,21,0,26,0
0,7,55,100,0,74,98,0,0,0,66,0,48,55,20,44,87,0,0,92,21,0,83,0,59
96,70,0,0,28,0,92,0,0,0,54,0,0,79,72,95,57,0,33,0,0,83,0,6,77
42,60,0,78,96,46,74,0,65,40,0,0,49,5,0,51,48,56,0,0,26,0,6,0,27
3,0,9,99,65,51,0,0,75,40,0,45,0,60,0,0,0,18,0,2,0,59,77,27,0
