0,8,33,65,80,93,4,62,28,8,19,88,79,21,83,23,79,77,43,61,25,24,96,42,3
8,0,69,27,100,43,6,83,2,74,83,37,2,29,48,43,93,71,95,12,9,7,70,60,30
33,69,0,16,66,99,77,31,47,1,93,46,77,23,26,33,97,30,37,24,3,55,73,16,9
65,27,16,0,85,25,27,50,27,88,68,46,42,79,81,58,34,44,47,67,65,100,17,78,99
80,100,66,85,0,41,43,94,83,29,55,34,1,70,57,96,94,72,45,5,30,14,28,96,65
93,43,99,25,41,0,20,38,88,14,25,80,87,9,44,85,83,52,71,44,9,74,17,46,51
4,6,77,27,43,20,0,28,60,16,35,88,97,48,50,69,36,70,49,42,41,98,92,74,81
62,83,31,50,94,38,28,0,53,74,5,62,3,15,4,89,54,16,56,27,7,86,61,20,2
28,2,47,27,83,88,60,53,0,33,60,74,72,83,97,33,95,84,86,59,96,46,70,65,75
8,74,1,88,29,14,16,74,33,0,71,81,32,48,7,49,74,92,20,9,7,66,50,40,40
19,83,93,68,55,25,35,5,60,71,0,53,55,57,93,15,73,58,87,38,37,66,54,49,29
88,37,46,46,34,80,88,62,74,81,53,0,78,84,10,22,84,64,8,80,97,59,96,60,45
79,2,77,42,1,87,97,3,72,32,55,78,0,81,70,18,42,58,9,96,69,48,80,49,70
21,29,23,79,70,9,48,15,83,48,57,84,81,0,27,3,46,53,71,21,12,55,79,5,60
83,48,26,81,57,44,50,4,97,7,93,10,70,27,0,27,74,36,48,81,100,20,72,87,69
23,43,33,58,96,85,69,89,33,49,15,22,18,3,27,0,24,60,6,66,57,44,95,51,25
79,93,97,34,94,83,36,54,95,74,73,84,42,46,74,24,0,75,93,60,80,87,57,48,71
77,71,30,44,72,52,70,16,84,92,58,64,58,53,36,60,75,0,54,9,18,61,94,56,18
43,95,37,47,45,71,49,56,86,20,87,8,9,71,48,6,93,54,0,25,24,68,33,39,23
61,12,24,67,5,44,42,27,59,9,38,80,96,21,81,66,60,9,25,0,95,92,25,31,2
25,9,3,65,30,9,41,7,96,7,37,97,69,12,100,57,80,18,24,95,0,21,17,26,13
24,7,55,100,14,74,98,86,46,66,66,59,48,55,20,44,87,61,68,92,21,0,83,63,59
96,70,73,17,28,17,92,61,70,50,54,96,80,79,72,95,57,94,33,25,17,83,0,6,77
42,60,16,78,96,46,74,20,65,40,49,60,49,5,87,51,48,56,39,31,26,63,6,0,27
3,30,9,99,65,51,81,2,75,40,29,45,70,60,69,25,71,18,23,2,13,59,77,27,0
